"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureunitID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","IsMarkedForDeletion"
5700,"CAPUCHON RK-02",,"Capuchon Ser chocolate - Sintra",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                       "
5700,"CAPUCHON RK-03",,"Capuchon Confites de chocolate rocklets",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                               "
5700,"CAPUCHON RK-04",,"CAPUCHON ROCKLETS - LC x 25 gr - codigo de prueba",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,"CAPUCHON RK-14",,"CAPUCHON ROCKLETS - NAFER x 25 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                     "
5700,"CAPUCHON RK-15",,"CAPUCHON ROCKLETS - NAFER",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                             "
5700,"CAPUCHON RK-16",,"CAPUCHON ROCKLETS - LC x 25 gr - YOGUR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                "
5700,"CAPUCHON RK-17",,"CAPUCHON ROCKLETS - LC x 23 gr - YOGUR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                "
5700,"CAPUCHON RK-24",,"CAPUCHON ROCKLETS YSS x 24 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                         "
5700,"CAPUCHON SL-00",,"Capuchón cereal SILK x 20 gr - GRANIX",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                 "
5700,"CAPUCHON TCH-00",,"Capuchon galletitas chocolinas 11g",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                   "
5700,"CAPUCHON ZU-02",,"Capuchón cereal azucarado x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                      "
5700,"CAPUCHON ZU-03",,"Capuchón cereal azucarado x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                      "
5700,"CAPUCHON ZU-04",,"Capuchón cereal azucarado x 16 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                     "
5700,"CAPUCHON ZU-07",,"Capuchón cereal azucarado x 16 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                     "
5700,"COLORANTE POSTRE",,"Colorante postre",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                    "
5700,"CR",,"Crema al 43% G.B.",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                 "
5700,"CR_10",,"Crema al 42% (2019)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"CR_40",,"Crema al 40% (2022)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"CR_42",,"Crema al 42% (2019)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"DECOR FFS",,"DECOR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                      "
5700,"DN542801",,"Fermento",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                    "
5700,"ESENCIA ALTA",,"ESENCIA ALTA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"FERMENTO FV-DVS LB12",,"Fermento FV-DVS LB12",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                            "
5700,"FILM",,"Articulo Generico film sachet",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                   "
5700,"LAMINA POSTRE",,"LAMINA POSTRE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                          "
5700,"LAMINA YOGUR",,"LAMINA YOGUR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
