"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","Enabled"
4200,56908,"XXX","NTRLN PEPTI JNR. 24X400 ARG",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,10380640,"XXX","ETI LEV MAN 1500 ML BIKIN 0519",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,125967,"XXX","LEVITE CERO F TROPICALES SG 1650CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20210715 00:07:00",5700,5700,
5700,50513804,"XXX","L8EJ-POS_101 ENCHUFE(ELECTRICO) D2.-P020",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10326800,"XXX","JARABE TERMINADO VDS PERA",0,0,0,0,,,"L","L",5700,0,0,0,0,0,0,5700,5700,
5700,10345059,"XXX","FIL LEV PER 600 DISC ALIM 0318",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
4200,10418270,"XXX","MILUPA 2 X 800 G",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,50511800,"XXX","L2LL-Empaquetadura/Medidor-POS4-P064",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516832,"XXX","SOL4- PASADOR CILINDRICO 14652",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10423999,"XXX","FIL LEVITE LIMON 2.25L OC 0820",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
5700,50520634,"XXX","BULO-BULON ACERO PULIDO W 1/2X2 1/4IN",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50789231,"XXX","GRAL-MOTOR-MOTOR MM B14-1 HP",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,126084,"XXX","VDS LEVITE ANANA S/G 12 X 600CC LIC.",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20170908 00:09:00",5700,5700,
5700,50514240,"XXX","GREL-Cabezas p/pulsadores rojo ZB2-BA4",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50511572,"XXX","GRVJ-FILTRO DE VACIO 3 MIC-P075",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516764,"XXX","SOL4- ARBOL 1062292001",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50789282,"XXX","GRAL-RETEN 40-56-8",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
4200,50788929,"XXX","ESPEC-TRANS-PIÑON TENSOR DE CADENA",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,125842,"XXX","VILLAVICENCIO PET S/G 12X500CC. CRISTAL",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20170908 00:09:00",5700,5700,
4200,10418234,"XXX","PLASTIC SCOOP GREEN 12ML",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
4200,50788656,"XXX","GRAL-CORREA A-28",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50514567,"XXX","GRBU-TOR ALLEN CILIND 5X20 INOX CA 304",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50816255,"XXX","MOTOR-MOTOVIBRADOR TIPO8M200/15 1500 RPM",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
4200,10419214,"XXX","PREMIX VITAL 3 MPM YCF",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
5700,50515790,"XXX","CONSIG-RODAMIENTO 61902-2RS1",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50510850,"XXX","L4SO- ANILLO CENTRAJE BUJE 25X30X20-P064",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514480,"XXX","GRBU-ANILLO SEEGUER 472/EJE I26INOX-P057",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520532,"XXX","BULO-SEGURO SEEGER EX.DIN 471 26 MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50515487,"XXX","GRBU-TOR HEX 8X60 DUREZA 8-8 O 12-9-P057",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516489,"XXX","SOL4- FOND MOLDE GOMA AMORTIG LH026270",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516854,"XXX","SOL4- INTER MECA RODILLO 33729",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520752,"XXX","BULO-BULON ACERO INOX.MET.7X1.00 35MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,10418287,"XXX","CAJA ESTUCHES X 800/1000 G SIN IMPRESIÓN",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,50516991,"XXX","SOL3-DISCO DE FILTRO 1827430804 53111",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50817779,"XXX","L2SO- Buje para cassete",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50509969,"XXX","ELAB-KIT REPARAC COD6-9611 92 3021-P069",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513545,"XXX","L8PA-EJE RODILLO L_1000-P089",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516112,"XXX","L5SO-RULINA CADENA - HORNO 2004-P134",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50789204,"XXX","GRAL-ELECTRI-OMRON D4DS-K2 DOOR SWITCH",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50515913,"XXX","CONSIG-SSLEEVE CR 99289 PARA EJE 75MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50521088,"XXX","BULO-TORNILLO BRONCE C/F W1/8X1IN",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50885267,"XXX","CONJUNTO DE CABEZAL SWISS CAN",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
4200,50788327,"XXX","FILTRO DE ACEITE MULTIVAC BU 01531000001",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,10329710,"XXX","TAP 3025 BERI AMA VDS MWF 6070",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50510242,"XXX","L3SO-TUERCA HFRM5P8 ZING/BIC NYLSTO-P064",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50840543,"XXX","RELEVO TERMICO 0.9A A 1.25A",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50518520,"XXX","LBL3-EMPAQUETADURA  4-7444S/15",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50824218,"XXX","CONTAC - 3P(3 NO) - AC-3 - 440 V 12 A",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50520349,"XXX","INSU-PILA BATERIA 9 V",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50510350,"XXX","L3SO-SOPORTE MUELLE COMPR INFERIOR-P064",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,129887,"XXX","APPLE. PEAR",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,50511472,"XXX","L1ET-ANILLO-FIG28-P060",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517202,"XXX","SOL3-ELECTROVALVULA DN20 129284",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516585,"XXX","SOL4-CIL.EYECCION ANILLO ELAST.LH15028",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50519906,"XXX","ELEC-FUSIBLE HHC APIDIN 15 KW 125 A",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50699270,"XXX","UVSK - O-RING PARA CUARZOS MODELO",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517854,"XXX","PAL3-E04B04072003 SENSOR POR CIL",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10423997,"XXX","FIL LEVITE LIMON 500ML OC 0820",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
5700,10357287,"XXX","FIL LEV MAN RENW 1.25 0718",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
5700,50513587,"XXX","L8PA-CUBO FIJACION RODILLO-P089",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514205,"XXX","GREL-Sensor lectura taco Ocme",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50511312,"XXX","L1SO-JUEGO DE JUNTAS  - DON KFL NR -P030",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514409,"XXX","GREL-Equipo Completo lámpara 400W T°HQI",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50537127,"XXX","L5SO-Freno proteccion seg valv SEU-1/2"",UN""",0,0,0,5700,,,"UN",0,0,0,0,0,0,0,5700,5700,5700,
4200,10436796,"XXX","TRIL NUTRILON PROF 4 SAB BANANA X300G",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
4200,119828,"XXX","GLUTAMIN ESTUCHE X 40 SOBRES DE 10 G",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,50515655,"XXX","L5SO-MORDAZA DE REGLA DE TRASLACION-P027",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513976,"XXX","GRHE-Pinza seguro Seeger 140 mm rect ext",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513279,"XXX","L6LA-MOTOR-P063",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50515885,"XXX","CONSIG-RETEN CR 55X80X8 HMSA10 RG",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50518072,"XXX","ENL3-CINTA GOMA M  K80H10012001",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520910,"XXX","BULO-TORNILLO ALLEN C/C M3X0.50 30MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50521804,"XXX","BULO-ABRAZADERA 25/35MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,175587,"XXX","LEVITE MANZANA SG 500 CC EXPO",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,0,5700,5700,
5700,50510224,"XXX","L3SO-GATO (PISTON DE ESTIRADO) -P064",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50512662,"XXX","L5ET- VASTAGO DEL PISTON DEL COLERO-P031",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517067,"XXX","SOL3- TUERCA ISO10511-M10-05  013408",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50518839,"XXX","TAGE-RESORTE COMPENSACION P75V03750500",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50510615,"XXX","COMP-KIT SELLOS DE ESTANQUEIDAD -P082",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50653875,"XXX","SANE-Hisopos Clean Trace Surface UXL100",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514092,"XXX","GREL-Contactor 2.2 kw Bob 24VAC",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50519263,"XXX","TRGE-GUIA EXT IZQUIE DIVISOR BOT 3V468",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50512387,"XXX","GRFI-FILTRO PLISADO (482X567X95MM)-P045",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520047,"XXX","ELEC-CINTA AUTOSOLDANTE SCOTCH 23",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50821298,"XXX","CALI-Membranas blancas COD EZHAWG474",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10376500,"XXX","FIL LEV MAN 500 AFH 2ORD 0319",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
5700,50514775,"XXX","ELAB-TAPON ALEN 1/8-P035",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514498,"XXX","GRBU-REMACHES POP 5 X 20MM-P057",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50730140,"XXX","L5SO-SIDE-CILINDRO CON GUIA MGQM20-30",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514444,"XXX","GRBU-VALVULA ESFERICA MANUAL 1/4-P057",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50519825,"XXX","ELEC-GUARDAMOTOR KLOC DISY 0.1/0.16A",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50518681,"XXX","LAL3-PASADOR ELASTICO 725131215/01",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50880265,"XXX","L8LL-Caudalimetro KROHNE valv. Llenado",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517207,"XXX","SOL3-ANILLO DE CENTRAJE 1072782202",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520650,"XXX","BULO-BULON ACERO PULIDO W 9/16X3IN",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50667783,"XXX","L3SO-DESLIZANTE COD 01142404702",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10380794,"XXX","FIL LEV MAN 225 L BIKIN 0520",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
4200,10419153,"XXX","GRANEL L-K ADULTOS DIAB YCF",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
5700,50513769,"XXX","L8EJ-POSIC 108 COJINETE.-P020",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50519541,"XXX","FILT-FILTRO TRIPLE  50U. 30IN",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520108,"XXX","ORJU-JUNTA CARC 20 EL INF 530X505X5.5",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,129552,"XXX","LEVITE LIMONADA CLASICA SG 2250CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20210715 00:07:00",5700,5700,
5700,50519329,"XXX","OZGE-DRENAJE CONDENSADO 94220",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520062,"XXX","ELEC-HART MEDIDA CONT 2HILOS 4-20MA",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50787921,"XXX","GRAL-ELECTRI-FUSIBLE F1AL 250V",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50515020,"XXX","GROR-ORING EPDM O VITON   2-203-P054",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516685,"XXX","SOL4-LEV.BLOQ DETECTOR XS1 LH 033362",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50518269,"XXX","EBL3-PASADOR ELASTICO 725130510/01",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,132630,"XXX","LEVITE POMELO SG 1500CC F",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,0,5700,5700,
5700,50511208,"XXX","L1SO-TOPE DE PINZA  -P030",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50515552,"XXX","L7CM-SENSOR INFRA. IS44-P131",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513296,"XXX","L6LL-O-RING/A03-P055",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520354,"XXX","INSU-ADHESIVO FIJAC RM 1 TRABASIL 6GR",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50783247,"XXX","ELAB-SELLO P/VALV MARIPOSA FAMIQ 6",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50512959,"XXX","L3ET-RELAY DE ESTADO SOLIDO-P008",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514536,"XXX","GRBU-ANILLO SEEGER DIN 471 EJE A43-P057",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516401,"XXX","SOL2-JUNTA ROTAT REFRIG 301999940630",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517703,"XXX","ETL3-PATIN DEL 1.5L LEV 8L10007671",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517279,"XXX","CABC-4HP ELECTROV COMANDO VALVULAS",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,133637,"XXX","SER NARANJA SG 6 X 1500CC F",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,0,5700,5700,
4200,190425,"XXX","VITAL 1 X 200 ML",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,50512384,"XXX","GRFI-FILTRO HEPA(305X305X78 MM)-P045",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516699,"XXX","SOL4- KIT CAMISA PISTON 1995258901",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10327468,"XXX","ETI VDSLEVNAR 2.25LTS BOPPMINIONS 03/17",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514215,"XXX","GREL-Sensor laser difuso BGS-DL10TP",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50788849,"XXX","GRAL-NEUM-VAS-30-1/8-PUR",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50514314,"XXX","GREL-Fusible 3NE1 3340 SITOR 500A 690Vac",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50515024,"XXX","GROR-ORING EPDM O VITON   2-207-P054",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50514369,"XXX","GREL-Ficha macho 2P+T 16A Azul - Steck",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,139911,"XXX","NUTRISON SOYA BPOUT 800G",0,0,0,0,,,"PC","PC",4200,0,0,0,0,0,0,4200,4200,
5700,50519540,"XXX","QUIM-SOLVENTE LIM EN FRIO MELT-O-CLEAN",0,0,0,0,,,"L","L",5700,0,0,0,0,0,0,5700,5700,
5700,50516395,"XXX","SOL2-PALANCA BRAZO TRANSMISIO 94174013",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513451,"XXX","L8EN-ARBOL RODILLO REENVIO CINTA-P027",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517273,"XXX","CABC-4HP VALV ESC 194CR14 BC-394582",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50522051,"XXX","BCCT-UNION CAD EUR 136   REGINA 10-B1",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513260,"XXX","L6LA-KIT REP P/CILINDRO DNC-63-PPVA-P017",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517746,"XXX","PAL2-TRANSMISION CORREA T07F02060002",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10353052,"XXX","ETI LEV CE DURAZNO 1.5L 0518",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513670,"XXX","L8LL-CABEZA FINAL DE CARRERA-P020",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,10434786,"XXX","JBE LEVITE FIZZ LIMON",0,0,0,0,,,"L","L",5700,0,0,0,0,0,0,5700,5700,
